Optical Parameter Monitor,,,,
7.0.5319.1035,,,,
Delimiter Used: , ',',,
,,,,
Start of Measurement , 11/27/2025 16:20:47,,,
Sample Interval , 0.1 s,,,
, PM 220208217,,,
Type, PM100USB,,,
Serialnumber,1915246,,,
Sensor, S150C,,,
SensorSerialnumber,220208217,,,
Wavelength / Responsivity, 401 nm,,,
,,,,
,,,PM 220208217, 
Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),
0, 11/27/2025, 16:20:47.478,1.32E-06,
1, 11/27/2025, 16:20:47.852,1.32E-06,
2, 11/27/2025, 16:20:47.957,1.32E-06,
3, 11/27/2025, 16:20:48.084,1.32E-06,
4, 11/27/2025, 16:20:48.206,1.32E-06,
5, 11/27/2025, 16:20:48.330,1.32E-06,
6, 11/27/2025, 16:20:48.453,1.32E-06,
7, 11/27/2025, 16:20:48.576,1.32E-06,
8, 11/27/2025, 16:20:48.704,1.32E-06,
9, 11/27/2025, 16:20:48.827,1.32E-06,
10, 11/27/2025, 16:20:48.951,1.32E-06,
11, 11/27/2025, 16:20:49.075,1.32E-06,
12, 11/27/2025, 16:20:49.198,1.32E-06,
13, 11/27/2025, 16:20:49.321,1.32E-06,
14, 11/27/2025, 16:20:49.444,1.32E-06,
15, 11/27/2025, 16:20:49.567,1.32E-06,
16, 11/27/2025, 16:20:49.690,1.32E-06,
17, 11/27/2025, 16:20:49.813,1.32E-06,
18, 11/27/2025, 16:20:49.936,1.32E-06,
19, 11/27/2025, 16:20:50.059,1.32E-06,
20, 11/27/2025, 16:20:50.189,1.32E-06,
21, 11/27/2025, 16:20:50.312,1.32E-06,
22, 11/27/2025, 16:20:50.434,1.32E-06,
23, 11/27/2025, 16:20:50.557,1.32E-06,
24, 11/27/2025, 16:20:50.680,1.32E-06,
25, 11/27/2025, 16:20:50.803,1.32E-06,
26, 11/27/2025, 16:20:50.926,1.32E-06,
27, 11/27/2025, 16:20:51.048,1.32E-06,
28, 11/27/2025, 16:20:51.170,1.32E-06,
29, 11/27/2025, 16:20:51.293,1.32E-06,
30, 11/27/2025, 16:20:51.416,1.32E-06,
31, 11/27/2025, 16:20:51.539,1.32E-06,
32, 11/27/2025, 16:20:51.663,1.32E-06,
33, 11/27/2025, 16:20:51.785,1.32E-06,
34, 11/27/2025, 16:20:51.908,1.32E-06,
35, 11/27/2025, 16:20:52.031,1.32E-06,
36, 11/27/2025, 16:20:52.153,1.32E-06,
37, 11/27/2025, 16:20:52.276,1.32E-06,
38, 11/27/2025, 16:20:52.399,1.32E-06,
39, 11/27/2025, 16:20:52.522,1.32E-06,
40, 11/27/2025, 16:20:52.645,1.32E-06,
41, 11/27/2025, 16:20:52.768,1.32E-06,
42, 11/27/2025, 16:20:52.892,1.32E-06,
43, 11/27/2025, 16:20:53.015,1.32E-06,
44, 11/27/2025, 16:20:53.140,1.32E-06,
45, 11/27/2025, 16:20:53.262,1.32E-06,
46, 11/27/2025, 16:20:53.385,1.32E-06,
47, 11/27/2025, 16:20:53.509,1.32E-06,
48, 11/27/2025, 16:20:53.633,1.32E-06,
49, 11/27/2025, 16:20:53.758,1.32E-06,
50, 11/27/2025, 16:20:53.882,1.32E-06,
51, 11/27/2025, 16:20:54.008,1.32E-06,
52, 11/27/2025, 16:20:54.135,1.32E-06,
53, 11/27/2025, 16:20:54.263,1.32E-06,
54, 11/27/2025, 16:20:54.389,1.32E-06,
55, 11/27/2025, 16:20:54.517,1.32E-06,
56, 11/27/2025, 16:20:54.644,1.32E-06,
57, 11/27/2025, 16:20:54.772,1.32E-06,
58, 11/27/2025, 16:20:54.900,1.32E-06,
59, 11/27/2025, 16:20:55.026,1.32E-06,
60, 11/27/2025, 16:20:55.135,1.32E-06,
61, 11/27/2025, 16:20:55.244,1.32E-06,
62, 11/27/2025, 16:20:55.371,1.32E-06,
63, 11/27/2025, 16:20:55.499,1.32E-06,
64, 11/27/2025, 16:20:55.607,1.32E-06,
65, 11/27/2025, 16:20:55.718,1.32E-06,
66, 11/27/2025, 16:20:55.855,1.32E-06,
67, 11/27/2025, 16:20:55.959,1.32E-06,
68, 11/27/2025, 16:20:56.094,1.32E-06,
69, 11/27/2025, 16:20:56.226,1.32E-06,
70, 11/27/2025, 16:20:56.360,1.32E-06,
71, 11/27/2025, 16:20:56.493,1.32E-06,
72, 11/27/2025, 16:20:56.593,1.32E-06,
73, 11/27/2025, 16:20:56.726,1.32E-06,
74, 11/27/2025, 16:20:56.841,1.32E-06,
75, 11/27/2025, 16:20:56.941,1.32E-06,
76, 11/27/2025, 16:20:57.073,1.32E-06,
77, 11/27/2025, 16:20:57.176,1.32E-06,
78, 11/27/2025, 16:20:57.307,1.32E-06,
79, 11/27/2025, 16:20:57.411,1.32E-06,
80, 11/27/2025, 16:20:57.542,1.32E-06,
81, 11/27/2025, 16:20:57.675,1.32E-06,
82, 11/27/2025, 16:20:57.776,1.32E-06,
83, 11/27/2025, 16:20:57.908,1.32E-06,
84, 11/27/2025, 16:20:58.041,1.32E-06,
85, 11/27/2025, 16:20:58.175,1.32E-06,
86, 11/27/2025, 16:20:58.308,1.32E-06,
87, 11/27/2025, 16:20:58.441,1.32E-06,
88, 11/27/2025, 16:20:58.545,1.32E-06,
89, 11/27/2025, 16:20:58.656,1.32E-06,
90, 11/27/2025, 16:20:58.785,1.32E-06,
91, 11/27/2025, 16:20:58.923,1.32E-06,
92, 11/27/2025, 16:20:59.058,1.32E-06,
93, 11/27/2025, 16:20:59.191,1.32E-06,
94, 11/27/2025, 16:20:59.323,1.32E-06,
95, 11/27/2025, 16:20:59.452,1.32E-06,
96, 11/27/2025, 16:20:59.557,1.32E-06,
97, 11/27/2025, 16:20:59.686,1.32E-06,
98, 11/27/2025, 16:20:59.790,1.32E-06,
99, 11/27/2025, 16:20:59.890,1.32E-06,
100, 11/27/2025, 16:21:00.020,1.32E-06,
101, 11/27/2025, 16:21:00.123,1.32E-06,
102, 11/27/2025, 16:21:00.258,1.32E-06,
103, 11/27/2025, 16:21:00.389,1.32E-06,
104, 11/27/2025, 16:21:00.493,1.32E-06,
105, 11/27/2025, 16:21:00.624,1.32E-06,
106, 11/27/2025, 16:21:00.724,1.32E-06,
107, 11/27/2025, 16:21:00.856,1.32E-06,
108, 11/27/2025, 16:21:00.972,1.32E-06,
109, 11/27/2025, 16:21:01.107,1.32E-06,
110, 11/27/2025, 16:21:01.214,1.32E-06,
111, 11/27/2025, 16:21:01.340,1.32E-06,
112, 11/27/2025, 16:21:01.444,1.32E-06,
113, 11/27/2025, 16:21:01.576,1.32E-06,
114, 11/27/2025, 16:21:01.689,1.32E-06,
115, 11/27/2025, 16:21:01.790,1.32E-06,
116, 11/27/2025, 16:21:01.920,1.32E-06,
117, 11/27/2025, 16:21:02.055,1.32E-06,
118, 11/27/2025, 16:21:02.159,1.32E-06,
119, 11/27/2025, 16:21:02.288,1.32E-06,
120, 11/27/2025, 16:21:02.417,1.32E-06,
121, 11/27/2025, 16:21:02.545,1.32E-06,
122, 11/27/2025, 16:21:02.673,1.32E-06,
123, 11/27/2025, 16:21:02.806,1.32E-06,
124, 11/27/2025, 16:21:02.939,1.32E-06,
125, 11/27/2025, 16:21:03.039,1.32E-06,
126, 11/27/2025, 16:21:03.167,1.32E-06,
127, 11/27/2025, 16:21:03.271,1.32E-06,
128, 11/27/2025, 16:21:03.372,1.32E-06,
129, 11/27/2025, 16:21:03.472,1.32E-06,
130, 11/27/2025, 16:21:03.575,1.32E-06,
131, 11/27/2025, 16:21:03.705,1.32E-06,
132, 11/27/2025, 16:21:03.839,1.32E-06,
133, 11/27/2025, 16:21:03.955,1.32E-06,
134, 11/27/2025, 16:21:04.055,1.32E-06,
135, 11/27/2025, 16:21:04.188,1.32E-06,
136, 11/27/2025, 16:21:04.321,1.32E-06,
137, 11/27/2025, 16:21:04.456,1.32E-06,
138, 11/27/2025, 16:21:04.605,1.32E-06,
139, 11/27/2025, 16:21:04.740,1.32E-06,
140, 11/27/2025, 16:21:04.872,1.32E-06,
141, 11/27/2025, 16:21:05.003,1.32E-06,
142, 11/27/2025, 16:21:05.103,1.32E-06,
143, 11/27/2025, 16:21:05.220,1.32E-06,
144, 11/27/2025, 16:21:05.355,1.32E-06,
145, 11/27/2025, 16:21:05.487,1.32E-06,
146, 11/27/2025, 16:21:05.587,1.32E-06,
147, 11/27/2025, 16:21:05.720,1.32E-06,
148, 11/27/2025, 16:21:05.822,1.32E-06,
149, 11/27/2025, 16:21:05.952,1.32E-06,
150, 11/27/2025, 16:21:06.055,1.32E-06,
151, 11/27/2025, 16:21:06.183,1.32E-06,
152, 11/27/2025, 16:21:06.288,1.32E-06,
153, 11/27/2025, 16:21:06.388,1.32E-06,
154, 11/27/2025, 16:21:06.520,1.32E-06,
155, 11/27/2025, 16:21:06.630,1.32E-06,
156, 11/27/2025, 16:21:06.736,1.32E-06,
157, 11/27/2025, 16:21:06.841,1.32E-06,
158, 11/27/2025, 16:21:06.972,1.32E-06,
159, 11/27/2025, 16:21:07.101,1.32E-06,
160, 11/27/2025, 16:21:07.238,1.32E-06,
161, 11/27/2025, 16:21:07.368,1.32E-06,
162, 11/27/2025, 16:21:07.496,1.32E-06,
163, 11/27/2025, 16:21:07.633,1.32E-06,
164, 11/27/2025, 16:21:07.736,1.32E-06,
165, 11/27/2025, 16:21:07.837,1.32E-06,
166, 11/27/2025, 16:21:07.966,1.32E-06,
167, 11/27/2025, 16:21:08.071,1.32E-06,
168, 11/27/2025, 16:21:08.186,1.32E-06,
169, 11/27/2025, 16:21:08.288,1.32E-06,
170, 11/27/2025, 16:21:08.419,1.32E-06,
171, 11/27/2025, 16:21:08.537,1.32E-06,
172, 11/27/2025, 16:21:08.670,1.32E-06,
173, 11/27/2025, 16:21:08.803,1.32E-06,
