Optical Parameter Monitor,,,,
7.0.5319.1035,,,,
Delimiter Used: , ',',,
,,,,
Start of Measurement , 11/27/2025 16:19:32,,,
Sample Interval , 0.1 s,,,
, PM 220208217,,,
Type, PM100USB,,,
Serialnumber,1915246,,,
Sensor, S150C,,,
SensorSerialnumber,220208217,,,
Wavelength / Responsivity, 401 nm,,,
,,,,
,,,PM 220208217, 
Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),
109, 11/27/2025, 16:19:45.824,1.31E-06,
110, 11/27/2025, 16:19:45.948,1.31E-06,
111, 11/27/2025, 16:19:46.072,1.31E-06,
112, 11/27/2025, 16:19:46.195,1.31E-06,
113, 11/27/2025, 16:19:46.319,1.31E-06,
114, 11/27/2025, 16:19:46.442,1.31E-06,
115, 11/27/2025, 16:19:46.564,1.31E-06,
116, 11/27/2025, 16:19:46.687,1.31E-06,
117, 11/27/2025, 16:19:46.809,1.31E-06,
118, 11/27/2025, 16:19:46.932,1.31E-06,
119, 11/27/2025, 16:19:47.057,1.31E-06,
120, 11/27/2025, 16:19:47.181,1.31E-06,
121, 11/27/2025, 16:19:47.304,1.31E-06,
122, 11/27/2025, 16:19:47.427,1.31E-06,
123, 11/27/2025, 16:19:47.550,1.31E-06,
124, 11/27/2025, 16:19:47.673,1.31E-06,
125, 11/27/2025, 16:19:47.796,1.31E-06,
126, 11/27/2025, 16:19:47.918,1.31E-06,
127, 11/27/2025, 16:19:48.042,1.31E-06,
128, 11/27/2025, 16:19:48.167,1.31E-06,
129, 11/27/2025, 16:19:48.291,1.31E-06,
130, 11/27/2025, 16:19:48.415,1.31E-06,
131, 11/27/2025, 16:19:48.538,1.31E-06,
132, 11/27/2025, 16:19:48.661,1.31E-06,
133, 11/27/2025, 16:19:48.783,1.31E-06,
134, 11/27/2025, 16:19:48.906,1.31E-06,
135, 11/27/2025, 16:19:49.029,1.31E-06,
136, 11/27/2025, 16:19:49.152,1.31E-06,
137, 11/27/2025, 16:19:49.277,1.31E-06,
138, 11/27/2025, 16:19:49.400,1.31E-06,
139, 11/27/2025, 16:19:49.523,1.31E-06,
140, 11/27/2025, 16:19:49.647,1.31E-06,
141, 11/27/2025, 16:19:49.770,1.31E-06,
142, 11/27/2025, 16:19:49.893,1.31E-06,
