Optical Parameter Monitor,,,,
7.0.5319.1035,,,,
Delimiter Used: , ',',,
,,,,
Start of Measurement , 11/27/2025 16:23:49,,,
Sample Interval , 0.5 s,,,
, PM 220208217,,,
Type, PM100USB,,,
Serialnumber,1915246,,,
Sensor, S150C,,,
SensorSerialnumber,220208217,,,
Wavelength / Responsivity, 401 nm,,,
,,,,
,,,PM 220208217, 
Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),
0, 11/27/2025, 16:23:49.306,1.3175E-06,
1, 11/27/2025, 16:23:50.063,1.3171E-06,
2, 11/27/2025, 16:23:50.564,1.3173E-06,
3, 11/27/2025, 16:23:51.084,1.3173E-06,
4, 11/27/2025, 16:23:51.605,1.3182E-06,
5, 11/27/2025, 16:23:52.132,1.3177E-06,
6, 11/27/2025, 16:23:52.648,1.3175E-06,
7, 11/27/2025, 16:23:53.167,1.3189E-06,
8, 11/27/2025, 16:23:53.695,1.3186E-06,
9, 11/27/2025, 16:23:54.214,1.3182E-06,
10, 11/27/2025, 16:23:54.737,1.3187E-06,
11, 11/27/2025, 16:23:55.263,1.3184E-06,
12, 11/27/2025, 16:23:55.786,1.3178E-06,
13, 11/27/2025, 16:23:56.306,1.3180E-06,
14, 11/27/2025, 16:23:56.828,1.3191E-06,
15, 11/27/2025, 16:23:57.353,1.3182E-06,
16, 11/27/2025, 16:23:57.874,1.3187E-06,
17, 11/27/2025, 16:23:58.394,1.3177E-06,
18, 11/27/2025, 16:23:58.914,1.3182E-06,
19, 11/27/2025, 16:23:59.434,1.3184E-06,
20, 11/27/2025, 16:23:59.953,1.3173E-06,
21, 11/27/2025, 16:24:00.473,1.3173E-06,
22, 11/27/2025, 16:24:00.994,1.3175E-06,
23, 11/27/2025, 16:24:01.512,1.3186E-06,
24, 11/27/2025, 16:24:02.031,1.3177E-06,
25, 11/27/2025, 16:24:02.550,1.3177E-06,
26, 11/27/2025, 16:24:03.077,1.3171E-06,
27, 11/27/2025, 16:24:03.599,1.3169E-06,
28, 11/27/2025, 16:24:04.124,1.3171E-06,
29, 11/27/2025, 16:24:04.644,1.3177E-06,
30, 11/27/2025, 16:24:05.165,1.3177E-06,
31, 11/27/2025, 16:24:05.688,1.3171E-06,
32, 11/27/2025, 16:24:06.206,1.3171E-06,
33, 11/27/2025, 16:24:06.727,1.3171E-06,
34, 11/27/2025, 16:24:07.246,1.3173E-06,
35, 11/27/2025, 16:24:07.769,1.3171E-06,
36, 11/27/2025, 16:24:08.288,1.3168E-06,
37, 11/27/2025, 16:24:08.813,1.3173E-06,
38, 11/27/2025, 16:24:09.334,1.3166E-06,
39, 11/27/2025, 16:24:09.861,1.3168E-06,
40, 11/27/2025, 16:24:10.381,1.3178E-06,
41, 11/27/2025, 16:24:10.911,1.3173E-06,
42, 11/27/2025, 16:24:11.436,1.3169E-06,
43, 11/27/2025, 16:24:11.956,1.3158E-06,
44, 11/27/2025, 16:24:12.481,1.3162E-06,
45, 11/27/2025, 16:24:13.002,1.3162E-06,
46, 11/27/2025, 16:24:13.523,1.3157E-06,
47, 11/27/2025, 16:24:14.049,1.3164E-06,
48, 11/27/2025, 16:24:14.572,1.3162E-06,
49, 11/27/2025, 16:24:15.091,1.3168E-06,
50, 11/27/2025, 16:24:15.611,1.3169E-06,
51, 11/27/2025, 16:24:16.130,1.3162E-06,
52, 11/27/2025, 16:24:16.650,1.3166E-06,
53, 11/27/2025, 16:24:17.170,1.3166E-06,
54, 11/27/2025, 16:24:17.692,1.3166E-06,
55, 11/27/2025, 16:24:18.211,1.3164E-06,
56, 11/27/2025, 16:24:18.733,1.3164E-06,
57, 11/27/2025, 16:24:19.261,1.3168E-06,
58, 11/27/2025, 16:24:19.781,1.3164E-06,
59, 11/27/2025, 16:24:20.298,1.3157E-06,
60, 11/27/2025, 16:24:20.818,1.3162E-06,
61, 11/27/2025, 16:24:21.336,1.3158E-06,
62, 11/27/2025, 16:24:21.855,1.3164E-06,
63, 11/27/2025, 16:24:22.374,1.3160E-06,
64, 11/27/2025, 16:24:22.893,1.3153E-06,
65, 11/27/2025, 16:24:23.419,1.3157E-06,
66, 11/27/2025, 16:24:23.938,1.3162E-06,
67, 11/27/2025, 16:24:24.460,1.3164E-06,
68, 11/27/2025, 16:24:24.980,1.3164E-06,
69, 11/27/2025, 16:24:25.500,1.3157E-06,
70, 11/27/2025, 16:24:26.022,1.3169E-06,
71, 11/27/2025, 16:24:26.543,1.3162E-06,
72, 11/27/2025, 16:24:27.069,1.3166E-06,
73, 11/27/2025, 16:24:27.591,1.3160E-06,
74, 11/27/2025, 16:24:28.112,1.3157E-06,
75, 11/27/2025, 16:24:28.632,1.3160E-06,
76, 11/27/2025, 16:24:29.154,1.3168E-06,
77, 11/27/2025, 16:24:29.673,1.3168E-06,
78, 11/27/2025, 16:24:30.194,1.3160E-06,
79, 11/27/2025, 16:24:30.715,1.3158E-06,
80, 11/27/2025, 16:24:31.237,1.3166E-06,
81, 11/27/2025, 16:24:31.757,1.3166E-06,
82, 11/27/2025, 16:24:32.278,1.3166E-06,
83, 11/27/2025, 16:24:32.797,1.3158E-06,
84, 11/27/2025, 16:24:33.317,1.3162E-06,
85, 11/27/2025, 16:24:33.836,1.3162E-06,
86, 11/27/2025, 16:24:34.357,1.3151E-06,
87, 11/27/2025, 16:24:34.858,1.3155E-06,
88, 11/27/2025, 16:24:35.384,1.3164E-06,
89, 11/27/2025, 16:24:35.904,1.3160E-06,
90, 11/27/2025, 16:24:36.425,1.3164E-06,
91, 11/27/2025, 16:24:36.946,1.3164E-06,
92, 11/27/2025, 16:24:37.468,1.3164E-06,
93, 11/27/2025, 16:24:37.985,1.3162E-06,
94, 11/27/2025, 16:24:38.506,1.3164E-06,
