Optical Parameter Monitor,,,,
7.0.5319.1035,,,,
Delimiter Used: , ',',,
,,,,
Start of Measurement , 11/27/2025 16:20:09,,,
Sample Interval , 0.1 s,,,
, PM 220208217,,,
Type, PM100USB,,,
Serialnumber,1915246,,,
Sensor, S150C,,,
SensorSerialnumber,220208217,,,
Wavelength / Responsivity, 401 nm,,,
,,,,
,,,PM 220208217, 
Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),
0, 11/27/2025, 16:20:09.793,1.32E-06,
1, 11/27/2025, 16:20:10.167,1.31E-06,
2, 11/27/2025, 16:20:10.273,1.32E-06,
3, 11/27/2025, 16:20:10.396,1.31E-06,
4, 11/27/2025, 16:20:10.518,1.31E-06,
5, 11/27/2025, 16:20:10.642,1.31E-06,
6, 11/27/2025, 16:20:10.766,1.31E-06,
7, 11/27/2025, 16:20:10.894,1.31E-06,
8, 11/27/2025, 16:20:11.023,1.31E-06,
9, 11/27/2025, 16:20:11.132,1.31E-06,
10, 11/27/2025, 16:20:11.260,1.31E-06,
11, 11/27/2025, 16:20:11.360,1.31E-06,
12, 11/27/2025, 16:20:11.488,1.31E-06,
13, 11/27/2025, 16:20:11.617,1.31E-06,
14, 11/27/2025, 16:20:11.744,1.31E-06,
15, 11/27/2025, 16:20:11.848,1.31E-06,
16, 11/27/2025, 16:20:11.979,1.31E-06,
17, 11/27/2025, 16:20:12.080,1.31E-06,
18, 11/27/2025, 16:20:12.197,1.31E-06,
19, 11/27/2025, 16:20:12.299,1.31E-06,
20, 11/27/2025, 16:20:12.449,1.31E-06,
21, 11/27/2025, 16:20:12.583,1.31E-06,
22, 11/27/2025, 16:20:12.713,1.31E-06,
23, 11/27/2025, 16:20:12.813,1.31E-06,
24, 11/27/2025, 16:20:12.947,1.32E-06,
25, 11/27/2025, 16:20:13.054,1.31E-06,
26, 11/27/2025, 16:20:13.184,1.31E-06,
27, 11/27/2025, 16:20:13.286,1.31E-06,
28, 11/27/2025, 16:20:13.414,1.31E-06,
29, 11/27/2025, 16:20:13.546,1.31E-06,
30, 11/27/2025, 16:20:13.684,1.31E-06,
31, 11/27/2025, 16:20:13.814,1.31E-06,
32, 11/27/2025, 16:20:13.947,1.31E-06,
33, 11/27/2025, 16:20:14.081,1.31E-06,
34, 11/27/2025, 16:20:14.194,1.31E-06,
35, 11/27/2025, 16:20:14.296,1.31E-06,
36, 11/27/2025, 16:20:14.425,1.31E-06,
37, 11/27/2025, 16:20:14.552,1.31E-06,
38, 11/27/2025, 16:20:14.680,1.31E-06,
39, 11/27/2025, 16:20:14.797,1.31E-06,
40, 11/27/2025, 16:20:14.912,1.31E-06,
41, 11/27/2025, 16:20:15.015,1.31E-06,
42, 11/27/2025, 16:20:15.144,1.31E-06,
43, 11/27/2025, 16:20:15.246,1.31E-06,
44, 11/27/2025, 16:20:15.347,1.31E-06,
45, 11/27/2025, 16:20:15.479,1.31E-06,
46, 11/27/2025, 16:20:15.608,1.31E-06,
47, 11/27/2025, 16:20:15.711,1.31E-06,
48, 11/27/2025, 16:20:15.813,1.31E-06,
49, 11/27/2025, 16:20:15.946,1.31E-06,
50, 11/27/2025, 16:20:16.047,1.31E-06,
51, 11/27/2025, 16:20:16.176,1.31E-06,
52, 11/27/2025, 16:20:16.282,1.31E-06,
53, 11/27/2025, 16:20:16.412,1.31E-06,
54, 11/27/2025, 16:20:16.512,1.31E-06,
55, 11/27/2025, 16:20:16.645,1.31E-06,
56, 11/27/2025, 16:20:16.778,1.31E-06,
57, 11/27/2025, 16:20:16.878,1.31E-06,
58, 11/27/2025, 16:20:16.978,1.31E-06,
59, 11/27/2025, 16:20:17.115,1.31E-06,
60, 11/27/2025, 16:20:17.226,1.31E-06,
61, 11/27/2025, 16:20:17.329,1.31E-06,
62, 11/27/2025, 16:20:17.461,1.31E-06,
63, 11/27/2025, 16:20:17.562,1.31E-06,
64, 11/27/2025, 16:20:17.679,1.31E-06,
65, 11/27/2025, 16:20:17.808,1.31E-06,
66, 11/27/2025, 16:20:17.912,1.31E-06,
67, 11/27/2025, 16:20:18.027,1.31E-06,
68, 11/27/2025, 16:20:18.129,1.31E-06,
69, 11/27/2025, 16:20:18.261,1.31E-06,
70, 11/27/2025, 16:20:18.394,1.31E-06,
71, 11/27/2025, 16:20:18.495,1.31E-06,
72, 11/27/2025, 16:20:18.628,1.31E-06,
73, 11/27/2025, 16:20:18.760,1.31E-06,
74, 11/27/2025, 16:20:18.862,1.31E-06,
75, 11/27/2025, 16:20:18.995,1.31E-06,
76, 11/27/2025, 16:20:19.128,1.31E-06,
77, 11/27/2025, 16:20:19.270,1.31E-06,
78, 11/27/2025, 16:20:19.373,1.31E-06,
79, 11/27/2025, 16:20:19.478,1.31E-06,
80, 11/27/2025, 16:20:19.609,1.31E-06,
81, 11/27/2025, 16:20:19.709,1.31E-06,
82, 11/27/2025, 16:20:19.810,1.31E-06,
83, 11/27/2025, 16:20:19.911,1.31E-06,
84, 11/27/2025, 16:20:20.041,1.31E-06,
85, 11/27/2025, 16:20:20.144,1.31E-06,
86, 11/27/2025, 16:20:20.245,1.31E-06,
87, 11/27/2025, 16:20:20.377,1.31E-06,
88, 11/27/2025, 16:20:20.477,1.31E-06,
89, 11/27/2025, 16:20:20.610,1.31E-06,
90, 11/27/2025, 16:20:20.710,1.31E-06,
91, 11/27/2025, 16:20:20.816,1.31E-06,
92, 11/27/2025, 16:20:20.926,1.31E-06,
93, 11/27/2025, 16:20:21.059,1.31E-06,
94, 11/27/2025, 16:20:21.192,1.31E-06,
95, 11/27/2025, 16:20:21.293,1.31E-06,
96, 11/27/2025, 16:20:21.393,1.31E-06,
97, 11/27/2025, 16:20:21.494,1.31E-06,
98, 11/27/2025, 16:20:21.626,1.31E-06,
99, 11/27/2025, 16:20:21.759,1.31E-06,
100, 11/27/2025, 16:20:21.859,1.31E-06,
101, 11/27/2025, 16:20:21.993,1.31E-06,
102, 11/27/2025, 16:20:22.126,1.31E-06,
103, 11/27/2025, 16:20:22.255,1.31E-06,
104, 11/27/2025, 16:20:22.375,1.31E-06,
105, 11/27/2025, 16:20:22.509,1.31E-06,
106, 11/27/2025, 16:20:22.642,1.31E-06,
107, 11/27/2025, 16:20:22.758,1.31E-06,
108, 11/27/2025, 16:20:22.891,1.31E-06,
109, 11/27/2025, 16:20:23.020,1.31E-06,
110, 11/27/2025, 16:20:23.131,1.31E-06,
111, 11/27/2025, 16:20:23.258,1.31E-06,
112, 11/27/2025, 16:20:23.359,1.31E-06,
113, 11/27/2025, 16:20:23.492,1.31E-06,
114, 11/27/2025, 16:20:23.625,1.31E-06,
115, 11/27/2025, 16:20:23.746,1.31E-06,
116, 11/27/2025, 16:20:23.875,1.31E-06,
117, 11/27/2025, 16:20:24.007,1.31E-06,
118, 11/27/2025, 16:20:24.108,1.31E-06,
119, 11/27/2025, 16:20:24.241,1.31E-06,
120, 11/27/2025, 16:20:24.341,1.31E-06,
121, 11/27/2025, 16:20:24.442,1.31E-06,
122, 11/27/2025, 16:20:24.574,1.31E-06,
123, 11/27/2025, 16:20:24.675,1.31E-06,
124, 11/27/2025, 16:20:24.808,1.31E-06,
125, 11/27/2025, 16:20:24.940,1.31E-06,
126, 11/27/2025, 16:20:25.071,1.31E-06,
127, 11/27/2025, 16:20:25.184,1.31E-06,
128, 11/27/2025, 16:20:25.290,1.31E-06,
129, 11/27/2025, 16:20:25.407,1.31E-06,
130, 11/27/2025, 16:20:25.509,1.31E-06,
131, 11/27/2025, 16:20:25.640,1.31E-06,
132, 11/27/2025, 16:20:25.741,1.31E-06,
133, 11/27/2025, 16:20:25.874,1.31E-06,
134, 11/27/2025, 16:20:26.008,1.31E-06,
135, 11/27/2025, 16:20:26.145,1.31E-06,
136, 11/27/2025, 16:20:26.257,1.31E-06,
137, 11/27/2025, 16:20:26.390,1.31E-06,
138, 11/27/2025, 16:20:26.491,1.31E-06,
139, 11/27/2025, 16:20:26.625,1.31E-06,
140, 11/27/2025, 16:20:26.760,1.31E-06,
141, 11/27/2025, 16:20:26.873,1.31E-06,
142, 11/27/2025, 16:20:26.974,1.31E-06,
143, 11/27/2025, 16:20:27.108,1.31E-06,
144, 11/27/2025, 16:20:27.209,1.31E-06,
145, 11/27/2025, 16:20:27.340,1.31E-06,
146, 11/27/2025, 16:20:27.443,1.31E-06,
147, 11/27/2025, 16:20:27.576,1.31E-06,
148, 11/27/2025, 16:20:27.681,1.31E-06,
149, 11/27/2025, 16:20:27.796,1.31E-06,
150, 11/27/2025, 16:20:27.906,1.31E-06,
151, 11/27/2025, 16:20:28.039,1.31E-06,
152, 11/27/2025, 16:20:28.140,1.31E-06,
