Optical Parameter Monitor,,,,
7.0.5319.1035,,,,
Delimiter Used: , ',',,
,,,,
Start of Measurement , 11/27/2025 16:46:41,,,
Sample Interval , 0.1 s,,,
, PM 220208217,,,
Type, PM100USB,,,
Serialnumber,1915246,,,
Sensor, S150C,,,
SensorSerialnumber,220208217,,,
Wavelength / Responsivity, 402 nm,,,
,,,,
,,,PM 220208217, 
Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),
0, 11/27/2025, 16:46:41.770,1.2921E-06,
1, 11/27/2025, 16:46:42.155,1.2921E-06,
2, 11/27/2025, 16:46:42.265,1.2919E-06,
3, 11/27/2025, 16:46:42.378,1.2928E-06,
4, 11/27/2025, 16:46:42.508,1.2918E-06,
5, 11/27/2025, 16:46:42.635,1.2916E-06,
6, 11/27/2025, 16:46:42.765,1.2912E-06,
7, 11/27/2025, 16:46:42.894,1.2921E-06,
8, 11/27/2025, 16:46:43.017,1.2919E-06,
9, 11/27/2025, 16:46:43.140,1.2921E-06,
10, 11/27/2025, 16:46:43.264,1.2927E-06,
11, 11/27/2025, 16:46:43.387,1.2919E-06,
12, 11/27/2025, 16:46:43.510,1.2923E-06,
13, 11/27/2025, 16:46:43.634,1.2927E-06,
14, 11/27/2025, 16:46:43.757,1.2928E-06,
15, 11/27/2025, 16:46:43.878,1.2932E-06,
16, 11/27/2025, 16:46:44.004,1.2918E-06,
17, 11/27/2025, 16:46:44.150,1.2928E-06,
18, 11/27/2025, 16:46:44.265,1.2914E-06,
19, 11/27/2025, 16:46:44.391,1.2930E-06,
20, 11/27/2025, 16:46:44.520,1.2919E-06,
21, 11/27/2025, 16:46:44.649,1.2925E-06,
22, 11/27/2025, 16:46:44.782,1.2923E-06,
23, 11/27/2025, 16:46:44.913,1.2919E-06,
24, 11/27/2025, 16:46:45.015,1.2927E-06,
25, 11/27/2025, 16:46:45.146,1.2919E-06,
26, 11/27/2025, 16:46:45.248,1.2919E-06,
27, 11/27/2025, 16:46:45.360,1.2927E-06,
28, 11/27/2025, 16:46:45.464,1.2918E-06,
29, 11/27/2025, 16:46:45.592,1.2925E-06,
30, 11/27/2025, 16:46:45.720,1.2919E-06,
31, 11/27/2025, 16:46:45.848,1.2930E-06,
32, 11/27/2025, 16:46:45.950,1.2930E-06,
33, 11/27/2025, 16:46:46.081,1.2921E-06,
34, 11/27/2025, 16:46:46.211,1.2928E-06,
35, 11/27/2025, 16:46:46.315,1.2928E-06,
36, 11/27/2025, 16:46:46.416,1.2932E-06,
37, 11/27/2025, 16:46:46.547,1.2925E-06,
38, 11/27/2025, 16:46:46.680,1.2930E-06,
39, 11/27/2025, 16:46:46.813,1.2927E-06,
40, 11/27/2025, 16:46:46.914,1.2921E-06,
41, 11/27/2025, 16:46:47.042,1.2923E-06,
42, 11/27/2025, 16:46:47.162,1.2918E-06,
43, 11/27/2025, 16:46:47.304,1.2925E-06,
44, 11/27/2025, 16:46:47.413,1.2928E-06,
45, 11/27/2025, 16:46:47.545,1.2921E-06,
46, 11/27/2025, 16:46:47.647,1.2925E-06,
47, 11/27/2025, 16:46:47.780,1.2925E-06,
48, 11/27/2025, 16:46:47.914,1.2925E-06,
49, 11/27/2025, 16:46:48.019,1.2918E-06,
50, 11/27/2025, 16:46:48.129,1.2919E-06,
51, 11/27/2025, 16:46:48.262,1.2923E-06,
52, 11/27/2025, 16:46:48.362,1.2921E-06,
53, 11/27/2025, 16:46:48.478,1.2918E-06,
54, 11/27/2025, 16:46:48.588,1.2919E-06,
55, 11/27/2025, 16:46:48.702,1.2923E-06,
56, 11/27/2025, 16:46:48.812,1.2919E-06,
57, 11/27/2025, 16:46:48.913,1.2912E-06,
58, 11/27/2025, 16:46:49.019,1.2918E-06,
59, 11/27/2025, 16:46:49.129,1.2916E-06,
60, 11/27/2025, 16:46:49.263,1.2914E-06,
61, 11/27/2025, 16:46:49.396,1.2914E-06,
62, 11/27/2025, 16:46:49.496,1.2918E-06,
63, 11/27/2025, 16:46:49.596,1.2921E-06,
64, 11/27/2025, 16:46:49.729,1.2918E-06,
65, 11/27/2025, 16:46:49.831,1.2914E-06,
66, 11/27/2025, 16:46:49.960,1.2905E-06,
67, 11/27/2025, 16:46:50.062,1.2907E-06,
68, 11/27/2025, 16:46:50.162,1.2907E-06,
69, 11/27/2025, 16:46:50.264,1.2909E-06,
70, 11/27/2025, 16:46:50.392,1.2916E-06,
71, 11/27/2025, 16:46:50.510,1.2914E-06,
72, 11/27/2025, 16:46:50.624,1.2916E-06,
73, 11/27/2025, 16:46:50.731,1.2923E-06,
74, 11/27/2025, 16:46:50.861,1.2919E-06,
75, 11/27/2025, 16:46:50.963,1.2912E-06,
76, 11/27/2025, 16:46:51.078,1.2914E-06,
77, 11/27/2025, 16:46:51.196,1.2919E-06,
78, 11/27/2025, 16:46:51.327,1.2912E-06,
79, 11/27/2025, 16:46:51.427,1.2912E-06,
80, 11/27/2025, 16:46:51.528,1.2914E-06,
81, 11/27/2025, 16:46:51.661,1.2910E-06,
82, 11/27/2025, 16:46:51.761,1.2905E-06,
83, 11/27/2025, 16:46:51.894,1.2916E-06,
84, 11/27/2025, 16:46:52.010,1.2907E-06,
85, 11/27/2025, 16:46:52.112,1.2905E-06,
86, 11/27/2025, 16:46:52.228,1.2918E-06,
87, 11/27/2025, 16:46:52.362,1.2905E-06,
88, 11/27/2025, 16:46:52.464,1.2903E-06,
89, 11/27/2025, 16:46:52.577,1.2912E-06,
90, 11/27/2025, 16:46:52.711,1.2912E-06,
91, 11/27/2025, 16:46:52.812,1.2910E-06,
92, 11/27/2025, 16:46:52.917,1.2907E-06,
93, 11/27/2025, 16:46:53.028,1.2910E-06,
94, 11/27/2025, 16:46:53.161,1.2909E-06,
95, 11/27/2025, 16:46:53.268,1.2912E-06,
96, 11/27/2025, 16:46:53.385,1.2912E-06,
97, 11/27/2025, 16:46:53.494,1.2912E-06,
98, 11/27/2025, 16:46:53.594,1.2907E-06,
99, 11/27/2025, 16:46:53.728,1.2912E-06,
100, 11/27/2025, 16:46:53.844,1.2900E-06,
101, 11/27/2025, 16:46:53.960,1.2907E-06,
102, 11/27/2025, 16:46:54.060,1.2909E-06,
103, 11/27/2025, 16:46:54.160,1.2896E-06,
104, 11/27/2025, 16:46:54.276,1.2900E-06,
105, 11/27/2025, 16:46:54.377,1.2909E-06,
106, 11/27/2025, 16:46:54.508,1.2903E-06,
107, 11/27/2025, 16:46:54.609,1.2905E-06,
108, 11/27/2025, 16:46:54.742,1.2905E-06,
109, 11/27/2025, 16:46:54.844,1.2903E-06,
110, 11/27/2025, 16:46:54.977,1.2902E-06,
111, 11/27/2025, 16:46:55.109,1.2916E-06,
112, 11/27/2025, 16:46:55.238,1.2910E-06,
113, 11/27/2025, 16:46:55.366,1.2903E-06,
114, 11/27/2025, 16:46:55.494,1.2907E-06,
115, 11/27/2025, 16:46:55.626,1.2909E-06,
116, 11/27/2025, 16:46:55.755,1.2912E-06,
117, 11/27/2025, 16:46:55.883,1.2910E-06,
118, 11/27/2025, 16:46:55.992,1.2902E-06,
119, 11/27/2025, 16:46:56.126,1.2902E-06,
120, 11/27/2025, 16:46:56.255,1.2912E-06,
121, 11/27/2025, 16:46:56.384,1.2909E-06,
122, 11/27/2025, 16:46:56.491,1.2907E-06,
123, 11/27/2025, 16:46:56.606,1.2907E-06,
124, 11/27/2025, 16:46:56.711,1.2900E-06,
125, 11/27/2025, 16:46:56.813,1.2905E-06,
126, 11/27/2025, 16:46:56.926,1.2903E-06,
127, 11/27/2025, 16:46:57.026,1.2912E-06,
128, 11/27/2025, 16:46:57.157,1.2912E-06,
129, 11/27/2025, 16:46:57.258,1.2903E-06,
130, 11/27/2025, 16:46:57.390,1.2907E-06,
131, 11/27/2025, 16:46:57.493,1.2905E-06,
132, 11/27/2025, 16:46:57.621,1.2903E-06,
133, 11/27/2025, 16:46:57.725,1.2912E-06,
134, 11/27/2025, 16:46:57.827,1.2907E-06,
135, 11/27/2025, 16:46:57.958,1.2916E-06,
136, 11/27/2025, 16:46:58.091,1.2916E-06,
137, 11/27/2025, 16:46:58.192,1.2912E-06,
138, 11/27/2025, 16:46:58.308,1.2907E-06,
139, 11/27/2025, 16:46:58.409,1.2916E-06,
140, 11/27/2025, 16:46:58.540,1.2914E-06,
141, 11/27/2025, 16:46:58.658,1.2912E-06,
142, 11/27/2025, 16:46:58.759,1.2912E-06,
143, 11/27/2025, 16:46:58.872,1.2905E-06,
144, 11/27/2025, 16:46:58.996,1.2907E-06,
145, 11/27/2025, 16:46:59.110,1.2909E-06,
146, 11/27/2025, 16:46:59.211,1.2909E-06,
147, 11/27/2025, 16:46:59.340,1.2907E-06,
148, 11/27/2025, 16:46:59.474,1.2909E-06,
149, 11/27/2025, 16:46:59.574,1.2910E-06,
150, 11/27/2025, 16:46:59.674,1.2907E-06,
151, 11/27/2025, 16:46:59.791,1.2910E-06,
152, 11/27/2025, 16:46:59.924,1.2910E-06,
153, 11/27/2025, 16:47:00.025,1.2903E-06,
154, 11/27/2025, 16:47:00.156,1.2914E-06,
155, 11/27/2025, 16:47:00.256,1.2903E-06,
156, 11/27/2025, 16:47:00.358,1.2905E-06,
157, 11/27/2025, 16:47:00.491,1.2914E-06,
158, 11/27/2025, 16:47:00.619,1.2907E-06,
159, 11/27/2025, 16:47:00.749,1.2905E-06,
160, 11/27/2025, 16:47:00.874,1.2909E-06,
161, 11/27/2025, 16:47:01.007,1.2916E-06,
162, 11/27/2025, 16:47:01.134,1.2903E-06,
163, 11/27/2025, 16:47:01.241,1.2912E-06,
164, 11/27/2025, 16:47:01.374,1.2907E-06,
165, 11/27/2025, 16:47:01.506,1.2903E-06,
166, 11/27/2025, 16:47:01.607,1.2903E-06,
167, 11/27/2025, 16:47:01.737,1.2900E-06,
168, 11/27/2025, 16:47:01.856,1.2909E-06,
169, 11/27/2025, 16:47:01.990,1.2903E-06,
170, 11/27/2025, 16:47:02.090,1.2902E-06,
171, 11/27/2025, 16:47:02.222,1.2902E-06,
172, 11/27/2025, 16:47:02.322,1.2893E-06,
173, 11/27/2025, 16:47:02.440,1.2900E-06,
174, 11/27/2025, 16:47:02.540,1.2900E-06,
175, 11/27/2025, 16:47:02.671,1.2903E-06,
176, 11/27/2025, 16:47:02.788,1.2905E-06,
177, 11/27/2025, 16:47:02.892,1.2903E-06,
178, 11/27/2025, 16:47:02.993,1.2905E-06,
179, 11/27/2025, 16:47:03.121,1.2902E-06,
180, 11/27/2025, 16:47:03.221,1.2903E-06,
181, 11/27/2025, 16:47:03.339,1.2912E-06,
182, 11/27/2025, 16:47:03.472,1.2902E-06,
183, 11/27/2025, 16:47:03.579,1.2909E-06,
184, 11/27/2025, 16:47:03.689,1.2902E-06,
185, 11/27/2025, 16:47:03.822,1.2898E-06,
186, 11/27/2025, 16:47:03.955,1.2905E-06,
187, 11/27/2025, 16:47:04.071,1.2900E-06,
188, 11/27/2025, 16:47:04.173,1.2905E-06,
189, 11/27/2025, 16:47:04.273,1.2909E-06,
190, 11/27/2025, 16:47:04.405,1.2912E-06,
191, 11/27/2025, 16:47:04.534,1.2914E-06,
192, 11/27/2025, 16:47:04.638,1.2912E-06,
193, 11/27/2025, 16:47:04.738,1.2907E-06,
194, 11/27/2025, 16:47:04.845,1.2894E-06,
195, 11/27/2025, 16:47:04.971,1.2905E-06,
196, 11/27/2025, 16:47:05.077,1.2916E-06,
197, 11/27/2025, 16:47:05.188,1.2907E-06,
198, 11/27/2025, 16:47:05.321,1.2907E-06,
199, 11/27/2025, 16:47:05.421,1.2903E-06,
200, 11/27/2025, 16:47:05.554,1.2907E-06,
201, 11/27/2025, 16:47:05.655,1.2907E-06,
202, 11/27/2025, 16:47:05.761,1.2909E-06,
203, 11/27/2025, 16:47:05.871,1.2905E-06,
204, 11/27/2025, 16:47:06.004,1.2903E-06,
205, 11/27/2025, 16:47:06.137,1.2902E-06,
206, 11/27/2025, 16:47:06.237,1.2907E-06,
207, 11/27/2025, 16:47:06.337,1.2912E-06,
208, 11/27/2025, 16:47:06.468,1.2905E-06,
209, 11/27/2025, 16:47:06.596,1.2907E-06,
210, 11/27/2025, 16:47:06.736,1.2907E-06,
211, 11/27/2025, 16:47:06.842,1.2905E-06,
212, 11/27/2025, 16:47:06.953,1.2905E-06,
213, 11/27/2025, 16:47:07.072,1.2910E-06,
214, 11/27/2025, 16:47:07.187,1.2907E-06,
215, 11/27/2025, 16:47:07.320,1.2909E-06,
216, 11/27/2025, 16:47:07.453,1.2909E-06,
217, 11/27/2025, 16:47:07.554,1.2912E-06,
218, 11/27/2025, 16:47:07.654,1.2910E-06,
219, 11/27/2025, 16:47:07.787,1.2912E-06,
220, 11/27/2025, 16:47:07.903,1.2909E-06,
221, 11/27/2025, 16:47:08.037,1.2909E-06,
222, 11/27/2025, 16:47:08.166,1.2910E-06,
223, 11/27/2025, 16:47:08.270,1.2909E-06,
224, 11/27/2025, 16:47:08.370,1.2910E-06,
225, 11/27/2025, 16:47:08.503,1.2907E-06,
226, 11/27/2025, 16:47:08.629,1.2914E-06,
227, 11/27/2025, 16:47:08.735,1.2916E-06,
228, 11/27/2025, 16:47:08.836,1.2916E-06,
229, 11/27/2025, 16:47:08.936,1.2912E-06,
230, 11/27/2025, 16:47:09.070,1.2903E-06,
231, 11/27/2025, 16:47:09.201,1.2907E-06,
232, 11/27/2025, 16:47:09.307,1.2907E-06,
